hom63 Vvchr5 1527457 1537313
hom64 AtChr1 21035618 21037211
hom64 Vvchr7 2865217 2866742
hom65 AtChr1 21043348 21044738
hom65 Vvchr14 1425106 1426730
hom66 AtChr1 21046009 21049045
hom66 Vvchr14 1593031 1597815
hom67 AtChr1 21056232 21057577
hom67 Vvchr14 1603687 1615727
hom68 AtChr1 21061600 21062995
hom68 Vvchr14 1603687 1615727
hom69 AtChr1 21064279 21065853
hom69 Vvchr14 1645382 1649689
hom70 AtChr1 21072877 21074877
hom70 Vvchr14 1242325 1251135
hom71 AtChr1 21078820 21080423
hom71 Vvchr14 1175054 1176479
hom72 AtChr1 21082863 21085300
hom72 Vvchr14 1138843 1149038
hom73 AtChr1 21085548 21086494
hom73 Vvchr5 1083853 1085029
hom74 AtChr1 21092993 21094461
hom74 Vvchr14 1016606 1018456
hom75 AtChr1 21094778 21097988
hom75 Vvchr14 1007040 1010126
hom76 AtChr1 21122551 21124234
hom76 Vvchr14 1002908 1006534
hom77 AtChr1 22001504 22003385
hom77 Vvchr5 3031098 3046782
hom78 AtChr1 22004964 22006172
hom78 Vvchr5 3031098 3046782
hom79 AtChr1 22155582 22158065
hom79 Vvchr7 3120742 3129795
hom80 AtChr1 22717060 22717610
hom80 Vvchr7 2917267 2918890
hom81 AtChr1 25565983 25569302
hom81 Vvchr5 1183937 1188336
hom82 AtChr1 26659132 26663010
hom82 Vvchr7 3376196 3378852
hom83 AtChr1 27032456 27034895
hom83 Vvchr5 1620965 1622613
hom84 AtChr1 27241807 27242827
hom84 Vvchr7 3447101 3448478
hom85 AtChr1 27959578 27961454
hom85 Vvchr5 3197070 3199170
hom86 AtChr2 851164 852222
hom86 Vvchr7 2837432 2838821
hom87 AtChr2 6630528 6634008
hom87 Vvchr14 1838888 1855098
hom88 AtChr2 7211112 7215553
hom88 Vvchr5 3014205 3018323
hom89 AtChr2 8078288 8079360
hom89 Vvchr5 2987201 2989765
hom90 AtChr2 8083740 8084888
hom90 Vvchr5 2987201 2989765
hom91 AtChr2 8251674 8251892
hom91 Vvchr5 3181986 3182859
hom92 AtChr2 8909467 8909772
hom92 Vvchr5 3181986 3182859
hom93 AtChr2 9744225 9746292
hom93 Vvchr5 3197070 3199170
hom94 AtChr2 10131489 10132779
hom94 Vvchr5 2987201 2989765
hom95 AtChr2 11392965 11394279
hom95 Vvchr5 1558829 1560136
hom96 AtChr2 11395896 11397092
hom96 Vvchr5 1558829 1560136
hom97 AtChr2 11748015 11750182
hom97 Vvchr7 2859283 2860867
hom98 AtChr2 13044931 13046511
hom98 Vvchr7 3625404 3628205
hom99 AtChr2 13486317 13487445
hom99 Vvchr5 1710651 1716408
hom100 AtChr2 14046521 14046832
hom100 Vvchr5 3181986 3182859
hom101 AtChr2 14288425 14289225
hom101 Vvchr7 2917267 2918890
hom102 AtChr2 16963319 16965752
hom102 Vvchr14 1370206 1374560
hom103 AtChr2 17084356 17087297
hom103 Vvchr7 3461091 3467139
hom104 AtChr2 17257380 17258196
hom104 Vvchr5 1797070 1798034
hom105 AtChr2 17259457 17260120
hom105 Vvchr5 1797070 1798034
hom106 AtChr2 18123267 18124338
hom106 Vvchr5 1710651 1716408
hom107 AtChr2 18451426 18452875
hom107 Vvchr7 2993094 2996351
hom108 AtChr2 19481420 19484015
hom108 Vvchr14 1088665 1101637
hom109 AtChr2 19483919 19484642
hom109 Vvchr5 1124496 1124822
hom110 AtChr2 19487246 19489619
hom110 Vvchr7 3538632 3549120
hom111 AtChr2 19492995 19498160
hom111 Vvchr7 3524633 3531334
hom112 AtChr2 19498368 19502246
hom112 Vvchr7 3484635 3492244
hom113 AtChr2 19502802 19503569
hom113 Vvchr7 3447101 3448478
hom114 AtChr2 19504220 19504971
hom114 Vvchr7 3431929 3433055
hom115 AtChr2 19505860 19506598
hom115 Vvchr7 3438989 3440381
hom116 AtChr2 19508980 19511792
hom116 Vvchr7 3356154 3358272
hom117 AtChr2 19511717 19512728
hom117 Vvchr7 3351619 3352410
hom118 AtChr2 19515898 19516925
hom118 Vvchr14 1553093 1556079
hom119 AtChr2 19517187 19518871
